종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"046210","HLB파나진","KOSDAQ","벤처기업부","3405","0","0.00","3415","3450","3370","103956","353955460","139620414435","41004527"
"204320","HL만도","KOSPI",,"35850","200","0.56","35550","35900","35300","131191","4670835800","1683412752000","46957120"
"060980","HL홀딩스","KOSPI",,"32950","-50","-0.15","33000","33200","32800","17812","587584100","335082059500","10169410"
"011200","HMM","KOSPI",,"15910","410","2.65","15660","15970","15550","693379","10970201190","10962618381360","689039496"
"403870","HPSP","KOSDAQ","벤처기업부","37200","150","0.40","37050","37550","36150","834446","30834019550","3019114800000","81159000"
"036640","HRS","KOSDAQ","우량기업부","5180","30","0.58","5150","5200","5120","71543","370058400","84717864000","16354800"
"082740","HSD엔진","KOSPI",,"8640","450","5.49","8190","8870","8160","941888","8165689400","618140108160","71543994"
"035000","HS애드","KOSPI",,"6360","50","0.79","6330","6360","6280","19227","121298990","105368721240","16567409"
"426550","IBKS제19호스팩","KOSDAQ","SPAC(소속부없음)","2295","5","0.22","2295","2345","2250","32182","73331250","11658600000","5080000"
"439730","IBKS제20호스팩","KOSDAQ","SPAC(소속부없음)","2270","-10","-0.44","2280","2280","2235","105","237165","9783700000","4310000"
"442770","IBKS제21호스팩","KOSDAQ","SPAC(소속부없음)","2210","0","0.00","2215","2215","2180","747","1633815","9304100000","4210000"
"448760","IBKS제22호스팩","KOSDAQ","SPAC(소속부없음)","2195","-10","-0.45","2215","2215","2195","633","1393130","9723850000","4430000"
"003560","IHQ","KOSPI",,"3585","0","0.00","0","0","0","0","0","57908659155","16153043"
